Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-23,208,2,2,1056,2911,3731
astro,2016-12-23,232,1,1,697,2210,3020
astro,2016-12-23,235,2,2,1056,2911,4006
astro,2016-12-23,237,1,1,692,1655,2055
astro,2016-12-23,241,2,2,962,2715,3535
astro,2016-12-23,327,1,1,596,1845,2690
astro,2016-12-23,338,0,1,535,1835,2790
astro,2016-12-23,418,1,1,761,2125,2975
astro,2016-12-23,427,1,1,596,1900,2750
astro,2016-12-23,428,0,1,464,1650,2320
astro,2016-12-23,519,1,1,784,2345,3195
astro,2016-12-23,604,1,1,627,1860,2710
astro,2016-12-23,627,1,1,596,1910,2760
