Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2018-07-09,221,1,1,776,2400,2400
astro,2018-07-09,510,1,1,697,2300,2300
astro,2018-07-09,525,1,1,649,2200,2200
astro,2018-07-09,532,1,1,697,2350,2350
astro,2018-07-09,534,1,1,761,2500,2500
astro,2018-07-09,618,1,1,761,2525,2525
astro,2018-03-30,217,1,1,649,2210,2210
astro,2018-03-30,229,1,1,718,2584,2584
astro,2018-03-30,231,1,1,596,1925,1925
astro,2018-03-30,240,2,2,1000,2995,2995
astro,2018-03-30,409,1,1,761,2360,2360
astro,2018-03-30,425,1,1,649,2145,2145
astro,2018-03-30,504,1,1,627,2075,2075
astro,2018-03-30,517,1,1,649,2150,2150
astro,2018-03-30,531,1,1,596,1899,1899
astro,2018-03-04,333,1,1,679,2275,2275
astro,2018-03-04,409,1,1,761,2325,2325
astro,2018-03-04,425,1,1,649,2200,2200
astro,2018-03-04,507,1,1,651,2042,2042
astro,2018-03-04,524,1,1,697,2300,2300
astro,2018-03-04,621,1,1,776,2375,2375
astro,2019-01-16,306,0,1,535,Call for Details,Call for Details
astro,2019-01-16,340,2,2,1000,Call for Details,Call for Details
astro,2019-01-16,405,1,1,627,Call for Details,Call for Details
astro,2019-01-16,613,1,1,596,Call for Details,Call for Details
astro,2019-01-16,625,1,1,649,Call for Details,Call for Details
astro,2018-12-28,222,1,1,656,1925,1925
astro,2018-12-28,306,0,1,535,1700,1700
astro,2018-12-28,405,1,1,627,1925,1925
astro,2018-12-28,615,1,1,596,1900,1900
astro,2018-12-28,625,1,1,649,2155,2155
astro,2016-11-27,208,2,2,1056,2736,3546
astro,2016-11-27,217,1,1,649,1830,2955
astro,2016-11-27,224,1,1,697,1955,2875
astro,2016-11-27,235,2,2,1056,2736,3546
astro,2016-11-27,238,0,1,535,1700,2130
astro,2016-11-27,306,0,1,535,1720,2375
astro,2016-11-27,307,1,1,651,1672,2797
astro,2016-11-27,325,1,1,649,1760,2885
astro,2016-11-27,327,1,1,596,1655,2595
astro,2016-11-27,335,2,2,1056,2741,3551
astro,2016-11-27,401,1,1,604,1624,2564
astro,2016-11-27,407,1,1,651,1752,2692
astro,2016-11-27,427,1,1,596,1790,2835
astro,2016-11-27,428,0,1,464,1550,2210
astro,2016-11-27,432,1,1,697,2015,2935
astro,2016-11-27,518,1,1,761,1890,3015
astro,2016-11-27,519,1,1,784,2235,3305
astro,2016-11-27,627,1,1,596,1800,2845
astro,2016-11-27,636,1,1,683,1745,2870
astro,2019-02-10,213,1,1,596,1975,1975
astro,2019-02-10,219,1,1,656,2075,2075
astro,2019-02-10,232,1,1,697,2265,2265
astro,2019-02-10,340,2,2,1000,3000,3000
astro,2019-02-10,405,1,1,627,2025,2025
astro,2019-02-10,535,2,2,1056,3360,3360
astro,2019-02-10,625,1,1,649,2155,2155
astro,2017-04-18,619,1,1,784,Call for Details,Call for Details
astro,2016-08-10,208,2,2,1056,3365,3485
astro,2016-08-10,215,1,1,596,1902,1972
astro,2016-08-10,225,1,1,649,Call,Call
astro,2016-08-10,229,1,1,718,2561,2911
astro,2016-08-10,231,1,1,596,1852,1922
astro,2016-08-10,304,1,1,627,1965,2310
astro,2016-08-10,306,0,1,535,1790,1810
astro,2016-08-10,317,1,1,649,2140,2210
astro,2016-08-10,324,1,1,697,2290,2360
astro,2016-08-10,329,1,1,718,2601,2686
astro,2016-08-10,406,0,1,535,1885,1965
astro,2016-08-10,429,1,1,718,2621,2691
astro,2016-08-10,431,1,1,596,1882,2227
astro,2016-08-10,432,1,1,697,2430,2735
astro,2016-08-10,508,2,2,1056,3236,3421
astro,2016-08-10,538,0,1,535,1815,1895
astro,2016-08-10,624,1,1,697,2355,2425
astro,2016-10-19,208,2,2,1056,2950,3420
astro,2016-10-19,210,1,1,697,2025,2270
astro,2016-10-19,224,1,1,697,2075,2320
astro,2016-10-19,238,0,1,535,1785,2175
astro,2016-10-19,241,2,2,962,2610,3080
astro,2016-10-19,302,2,2,962,2580,3045
astro,2016-10-19,327,1,1,596,1557,1792
astro,2016-10-19,335,2,2,1056,2811,3281
astro,2016-10-19,430,0,1,464,1615,1755
astro,2016-10-19,432,1,1,697,2135,2380
astro,2016-10-19,608,2,2,1056,Call,Call
astro,2016-10-02,202,2,2,962,2575,2755
astro,2016-10-02,208,2,2,1056,2965,3180
astro,2016-10-02,210,1,1,697,2075,2420
astro,2016-10-02,222,1,1,656,1935,2280
astro,2016-10-02,224,1,1,697,2125,2470
astro,2016-10-02,238,0,1,535,1740,1960
astro,2016-10-02,239,1,1,627,Call,Call
astro,2016-10-02,305,1,1,627,1705,2080
astro,2016-10-02,432,1,1,697,2105,2185
astro,2016-10-02,435,2,2,1056,2806,2986
astro,2016-10-02,641,2,2,962,2645,2825
astro,2017-09-28,225,1,1,649,2120,2120
astro,2017-09-28,302,2,2,962,3095,3095
astro,2017-09-28,317,1,1,649,2150,2150
astro,2017-09-28,407,1,1,651,2037,2037
astro,2017-09-28,433,1,1,679,2101,2101
astro,2017-09-28,435,2,2,1056,3291,3291
astro,2017-09-28,517,1,1,649,2110,2110
astro,2017-09-28,538,0,1,535,1723,1723
astro,2018-06-14,221,1,1,776,2600,2600
astro,2018-06-14,534,1,1,761,2700,2700
astro,2019-03-28,211,1,1,655,2150,2150
astro,2019-03-28,442,1,1,658,2175,2175
astro,2019-03-28,507,1,1,651,2100,2100
astro,2016-11-04,208,2,2,1056,2796,3146
astro,2016-11-04,224,1,1,697,2010,2370
astro,2016-11-04,238,0,1,535,1735,1810
astro,2016-11-04,241,2,2,962,2600,2950
astro,2016-11-04,302,2,2,962,2580,2930
astro,2016-11-04,307,1,1,651,1837,2212
astro,2016-11-04,327,1,1,596,1617,1992
astro,2016-11-04,335,2,2,1056,2801,3151
astro,2016-11-04,401,1,1,604,1819,2199
astro,2016-11-04,430,0,1,464,1590,1740
astro,2016-11-04,432,1,1,697,2070,2430
astro,2016-11-04,519,1,1,784,2340,2735
astro,2016-11-04,524,1,1,697,Call,Call
astro,2016-11-04,525,1,1,649,1910,2295
astro,2016-11-04,534,1,1,761,Call,Call
astro,2016-11-04,608,2,2,1056,2851,3211
astro,2016-11-04,633,1,1,679,1881,2241
astro,2016-11-04,636,1,1,683,Call,Call
astro,2017-05-17,233,1,1,679,2400,2400
astro,2017-05-17,242,1,1,510,2100,2100
astro,2016-10-23,208,2,2,1056,2925,3270
astro,2016-10-23,210,1,1,697,2035,2080
astro,2016-10-23,224,1,1,697,2085,2130
astro,2016-10-23,238,0,1,535,1780,2175
astro,2016-10-23,241,2,2,962,2585,2930
astro,2016-10-23,302,2,2,962,2555,2810
astro,2016-10-23,327,1,1,596,1587,1857
astro,2016-10-23,335,2,2,1056,2786,3131
astro,2016-10-23,430,0,1,464,1610,1755
astro,2016-10-23,432,1,1,697,2145,2190
astro,2016-10-23,519,1,1,784,2340,2600
astro,2016-10-23,525,1,1,649,1955,2245
astro,2016-10-23,608,2,2,1056,2806,3156
astro,2016-10-23,633,1,1,679,2061,2351
astro,2016-10-01,202,2,2,962,2575,2755
astro,2016-10-01,208,2,2,1056,2965,3180
astro,2016-10-01,210,1,1,697,2075,2420
astro,2016-10-01,222,1,1,656,1935,2280
astro,2016-10-01,224,1,1,697,2125,2470
astro,2016-10-01,238,0,1,535,1740,1960
astro,2016-10-01,239,1,1,627,Call,Call
astro,2016-10-01,432,1,1,697,2105,2185
astro,2016-10-01,435,2,2,1056,2806,2986
astro,2016-10-01,641,2,2,962,2645,2825
astro,2018-04-02,217,1,1,649,2210,2210
astro,2018-04-02,229,1,1,718,2584,2584
astro,2018-04-02,231,1,1,596,1925,1925
astro,2018-04-02,240,2,2,1000,2995,2995
astro,2018-04-02,409,1,1,761,2360,2360
astro,2018-04-02,425,1,1,649,2145,2145
astro,2018-04-02,504,1,1,627,2075,2075
astro,2018-04-02,517,1,1,649,2150,2150
astro,2018-04-02,531,1,1,596,1899,1899
astro,2019-01-04,219,1,1,656,2075,2075
astro,2019-01-04,306,0,1,535,1813,1813
astro,2019-01-04,405,1,1,627,1925,1925
astro,2019-01-04,615,1,1,596,1905,1905
astro,2019-01-04,625,1,1,649,2155,2155
astro,2017-03-09,203,2,2,1000,3100,3100
astro,2017-03-09,204,1,1,627,1950,1950
astro,2017-03-09,321,1,1,776,2400,2400
astro,2017-03-09,403,2,2,1000,3200,3200
astro,2017-03-09,442,1,1,658,2300,2300
astro,2017-03-09,531,1,1,596,2000,2000
astro,2017-03-09,537,1,1,692,2250,2250
astro,2016-12-20,208,2,2,1056,2911,3731
astro,2016-12-20,232,1,1,697,2200,3020
astro,2016-12-20,235,2,2,1056,2911,3981
astro,2016-12-20,241,2,2,962,2715,3535
astro,2016-12-20,327,1,1,596,1835,2690
astro,2016-12-20,338,0,1,535,1845,2790
astro,2016-12-20,418,1,1,761,2120,2975
astro,2016-12-20,427,1,1,596,1895,2750
astro,2016-12-20,428,0,1,464,1660,2320
astro,2016-12-20,519,1,1,784,2340,3195
astro,2016-12-20,604,1,1,627,1855,2710
astro,2016-12-20,627,1,1,596,1905,2760
astro,2017-01-10,208,2,2,1056,2836,3816
astro,2017-01-10,232,1,1,697,2180,3015
astro,2017-01-10,235,2,2,1056,2836,3816
astro,2017-01-10,338,0,1,535,1765,2825
astro,2017-01-10,419,1,1,784,2420,2830
astro,2017-01-10,427,1,1,596,1830,2745
astro,2017-01-10,433,1,1,679,2066,2901
astro,2017-01-10,519,1,1,784,2275,3190
astro,2017-01-10,627,1,1,596,1840,2755
astro,2017-11-23,225,1,1,649,1650,1650
astro,2017-11-23,305,1,1,627,1695,1695
astro,2017-11-23,331,1,1,596,1675,1675
astro,2017-11-23,402,2,2,962,2675,2675
astro,2017-11-23,438,0,1,535,1625,1625
astro,2017-11-23,439,1,1,627,1695,1695
astro,2017-11-23,508,2,2,1056,2800,2800
astro,2017-11-23,527,1,1,596,1675,1675
astro,2017-11-23,641,2,2,962,2725,2725
astro,2017-11-18,225,1,1,649,1650,1650
astro,2017-11-18,232,1,1,697,1725,1725
astro,2017-11-18,305,1,1,627,1695,1695
astro,2017-11-18,324,1,1,697,1850,1850
astro,2017-11-18,331,1,1,596,1675,1675
astro,2017-11-18,402,2,2,962,2627,2675
astro,2017-11-18,410,1,1,697,1775,1775
astro,2017-11-18,419,1,1,784,1850,1850
astro,2017-11-18,432,1,1,697,1775,1775
astro,2017-11-18,438,0,1,535,1600,1600
astro,2017-11-18,439,1,1,627,1695,1695
astro,2017-11-18,508,2,2,1056,2800,2800
astro,2017-11-18,527,1,1,596,1675,1675
astro,2017-11-18,623,1,1,761,2600,2600
astro,2017-11-18,625,1,1,649,1750,1750
astro,2017-11-18,641,2,2,962,2725,2725
astro,2018-01-29,217,1,1,649,2170,2170
astro,2018-01-29,235,2,2,1056,2724,2724
astro,2018-01-29,315,1,1,596,1853,1853
astro,2018-01-29,333,1,1,679,2200,2200
astro,2018-01-29,438,0,1,535,1718,1718
astro,2018-01-29,524,1,1,697,2253,2253
astro,2018-01-29,621,1,1,776,2375,2375
astro,2017-12-06,340,2,2,1000,2650,2650
astro,2017-12-06,402,2,2,962,2525,2525
astro,2017-12-06,501,1,1,604,1775,1775
astro,2017-12-06,502,2,2,962,2550,2550
astro,2017-12-06,508,2,2,1056,2700,2700
astro,2017-12-06,527,1,1,596,1675,1675
astro,2017-10-19,201,1,1,604,1968,1968
astro,2017-10-19,210,1,1,697,2188,2188
astro,2017-10-19,225,1,1,649,2120,2120
astro,2017-10-19,229,1,1,718,2536,2536
astro,2017-10-19,302,2,2,962,3095,3095
astro,2017-10-19,322,1,1,784,2390,2390
astro,2017-10-19,331,1,1,596,1900,1900
astro,2017-10-19,410,1,1,697,2198,2198
astro,2017-10-19,419,1,1,784,2470,2470
astro,2017-10-19,424,1,1,697,2248,2248
astro,2017-10-19,435,2,2,1056,3291,3291
astro,2017-10-19,439,1,1,627,2100,2100
astro,2017-10-19,538,0,1,535,1775,1775
astro,2017-10-19,637,1,1,692,2200,2200
astro,2017-10-19,641,2,2,962,3160,3160
astro,2017-06-30,429,1,1,718,2800,2800
astro,2017-06-30,539,1,1,627,2300,2300
astro,2017-06-30,615,1,1,596,2400,2400
astro,2017-07-14,328,0,1,464,1700,1700
astro,2017-07-14,429,1,1,718,2800,2800
astro,2017-07-14,440,2,2,1000,3700,3700
astro,2017-07-14,513,1,1,596,2250,2250
astro,2017-07-14,539,1,1,627,2400,2400
astro,2017-07-14,613,1,1,596,2300,2300
astro,2017-07-14,615,1,1,596,2300,2300
astro,2019-02-21,213,1,1,596,1975,1975
astro,2019-02-21,232,1,1,697,2265,2265
astro,2019-02-21,332,1,1,697,2285,2285
astro,2019-02-21,405,1,1,627,2025,2025
astro,2019-02-21,535,2,2,1056,3360,3360
astro,2016-12-26,208,2,2,1056,2906,3731
astro,2016-12-26,232,1,1,697,2200,3020
astro,2016-12-26,235,2,2,1056,2906,4076
astro,2016-12-26,237,1,1,692,1655,2055
astro,2016-12-26,241,2,2,962,2710,3535
astro,2016-12-26,327,1,1,596,1830,2690
astro,2016-12-26,338,0,1,535,1820,2790
astro,2016-12-26,418,1,1,761,2110,2975
astro,2016-12-26,427,1,1,596,1885,2750
astro,2016-12-26,428,0,1,464,1635,2320
astro,2016-12-26,519,1,1,784,2330,3195
astro,2016-12-26,604,1,1,627,1845,2710
astro,2016-12-26,627,1,1,596,1895,2760
astro,2017-03-29,102,1,1,479,1525,1525
astro,2017-03-29,537,1,1,692,2100,2100
astro,2017-03-29,622,1,1,784,2500,2500
astro,2016-11-16,208,2,2,1056,2781,3076
astro,2016-11-16,217,1,1,649,1900,1915
astro,2016-11-16,224,1,1,697,1995,2025
astro,2016-11-16,235,2,2,1056,2781,3151
astro,2016-11-16,238,0,1,535,1760,1790
astro,2016-11-16,241,2,2,962,2585,2880
astro,2016-11-16,307,1,1,651,1777,1792
astro,2016-11-16,327,1,1,596,1725,1740
astro,2016-11-16,335,2,2,1056,2786,3081
astro,2016-11-16,401,1,1,604,1699,1724
astro,2016-11-16,407,1,1,651,1822,1837
astro,2016-11-16,427,1,1,596,1835,1850
astro,2016-11-16,430,0,1,464,1580,1610
astro,2016-11-16,432,1,1,697,2055,2085
astro,2016-11-16,519,1,1,784,2280,2295
astro,2016-11-16,524,1,1,697,2010,2040
astro,2016-11-16,534,1,1,761,2015,2030
astro,2016-11-16,636,1,1,683,1815,1830
astro,2017-12-14,202,2,2,962,2500,2500
